Distribuidora,Início de Vigência,Fim de Vigência,USO DA REDE PONTA,USO DA REDE F. PONTA,ENCARGO,Encargo Auto Produtor,Desconto Auto-Produção,ICMS,PIS,COFINS,PIS/COFINS Faturamento Distribuidora
ONS,45839,46203,7.099,7.086,66.52,0,66.52,0.18,0.0165,0.076,0.08
ONS,46204,46568,7.78,7.82,60.66,0,60.66,0.18,0.0165,0.076,0.08
EDP,45870,46234,21.44,9.83,90.88,13.33,77.55,0.17,0.0165,0.076,0.07
EDP,46235,46599,21.056063170366,8.941315049406,87.09763958347,8.476974145454,78.620665438016,0.17,0.0165,0.076,0.07
ENERGISA,45839,46203,15.96,8.58,83.19,12.754801149637,70.435198850363,0,0.0165,0.076,0.07
ENERGISA,46204,46568,29.665248361175,11.691941870904,84.428166419261,9.987764162494,74.440402256767,0,0.0165,0.076,0.07
fornecedores_mercado_livre.csv
Fornecedor,Data Base,Preço Base,IPCA Realizado,IPCA Projetado,IPCA Total,Preço,Montante,Valor Montante
Cemig Convencional,44317,142.59,0.276,0.0235,0.2995,185.295705,80,14823.6564
Cemig Incentivada,45231,152.88,0.0874,0.0199,0.1073,169.284024,10,1692.84024
Elera,45323,159.2,0.0679,0.0196,0.0875,173.13,20,3462.6
Matrix,45383,143.4,0.0622,0.0195,0.0817,155.11578,20,3102.3156
energia_por_estado.csv
Estado,Preço Base,ICMS,PIS,COFINS,IPCA,Valor Bruto,Valor ICMS,Valor PIS,Valor Cofins,LIQUIDO SAP
MG,177.549324923077,0.18,0.0165,0.076,0.0216,221.303727493216,39.8346709487788,3.65151150363806,16.8190832894844,160.998461751314
ES,177.549324923077,0.17,0.0165,0.076,0.0216,218.637417523418,37.168360978981,3.60751738913639,16.6164437317797,161.245095423521
